UMAP1,UMAP2,Hour,Arrest,Time_Period
14.762338,1.8352157,12,False,Day (6AM-6PM)
11.360656,9.444757,15,False,Day (6AM-6PM)
13.556222,2.5005786,19,False,Night (6PM-6AM)
-1.306088,7.7770667,5,False,Night (6PM-6AM)
6.7233615,4.153111,0,True,Night (6PM-6AM)
9.480223,1.4877653,6,False,Day (6AM-6PM)
-4.394805,7.707904,13,True,Day (6AM-6PM)
15.509733,3.363566,22,False,Night (6PM-6AM)
-4.1579638,7.0386906,13,True,Day (6AM-6PM)
-3.1128228,4.2329216,14,True,Day (6AM-6PM)
-6.0779195,4.679313,16,False,Day (6AM-6PM)
12.585741,3.2034667,23,True,Night (6PM-6AM)
12.86768,-0.31763828,19,True,Night (6PM-6AM)
8.837015,2.9746282,5,False,Night (6PM-6AM)
-2.392391,4.1899705,9,False,Day (6AM-6PM)
-1.6149067,7.855152,9,False,Day (6AM-6PM)
-4.3572717,5.2350593,20,False,Night (6PM-6AM)
9.661603,4.809294,1,True,Night (6PM-6AM)
7.6865287,3.580491,1,False,Night (6PM-6AM)
12.795365,0.485528,18,False,Night (6PM-6AM)
-1.7915089,7.8682814,9,True,Day (6AM-6PM)
12.819583,-0.31334108,19,False,Night (6PM-6AM)
9.443985,8.450698,0,False,Night (6PM-6AM)
-3.4540784,2.9137053,13,False,Day (6AM-6PM)
10.550845,5.3891754,0,False,Night (6PM-6AM)
13.689621,8.861893,22,True,Night (6PM-6AM)
14.037573,3.9842346,22,False,Night (6PM-6AM)
-4.440721,5.0521636,19,False,Night (6PM-6AM)
12.288196,0.55209637,16,False,Day (6AM-6PM)
10.908027,4.8632517,1,False,Night (6PM-6AM)
10.128386,5.2855535,11,False,Day (6AM-6PM)
15.061294,6.5467515,16,False,Day (6AM-6PM)
11.393488,1.9794247,12,False,Day (6AM-6PM)
14.932635,3.8967454,14,False,Day (6AM-6PM)
15.27132,4.3165836,15,False,Day (6AM-6PM)
15.120541,6.6065593,12,False,Day (6AM-6PM)
8.570455,3.6739514,0,False,Night (6PM-6AM)
9.629217,4.021094,11,True,Day (6AM-6PM)
