TSNE1,TSNE2,Hour,Arrest,Time_Period
-18.862846,15.454974,7,False,Day (6AM-6PM)
-38.695488,70.12329,18,False,Night (6PM-6AM)
-12.43296,21.741516,3,False,Night (6PM-6AM)
0.74509066,-19.79268,0,False,Night (6PM-6AM)
43.189735,43.294483,7,False,Day (6AM-6PM)
1.9787167,64.72938,19,False,Night (6PM-6AM)
-8.58965,90.178185,17,False,Day (6AM-6PM)
21.046112,81.51218,13,True,Day (6AM-6PM)
-59.93013,-53.87921,20,True,Night (6PM-6AM)
18.8334,-47.96691,21,False,Night (6PM-6AM)
79.22795,-34.9292,23,False,Night (6PM-6AM)
-5.935914,89.840836,19,False,Night (6PM-6AM)
5.5977507,-85.02081,13,False,Day (6AM-6PM)
25.015833,-21.661678,15,False,Day (6AM-6PM)
2.8859787,84.66493,19,False,Night (6PM-6AM)
-8.125349,-49.23615,17,False,Day (6AM-6PM)
75.24336,9.953278,10,False,Day (6AM-6PM)
47.966267,4.626773,11,False,Day (6AM-6PM)
-17.624277,63.11803,18,False,Night (6PM-6AM)
-6.198097,-65.11618,12,False,Day (6AM-6PM)
-37.854923,75.25339,20,False,Night (6PM-6AM)
54.316162,-15.606597,21,False,Night (6PM-6AM)
72.67991,-36.5062,15,False,Day (6AM-6PM)
-34.235447,66.84928,22,False,Night (6PM-6AM)
61.335255,-38.974594,14,False,Day (6AM-6PM)
-3.2033043,-58.346333,15,False,Day (6AM-6PM)
-46.402008,-24.92729,21,True,Night (6PM-6AM)
23.621489,-51.471916,12,False,Day (6AM-6PM)
-66.99938,-33.89525,13,False,Day (6AM-6PM)
33.72731,46.691715,8,False,Day (6AM-6PM)
-25.812393,-34.857185,17,False,Day (6AM-6PM)
62.201336,0.30453488,9,False,Day (6AM-6PM)
70.32406,-19.794779,17,False,Day (6AM-6PM)
-1.2388859,83.05029,21,False,Night (6PM-6AM)
69.34391,-14.4936905,19,False,Night (6PM-6AM)
1.8737233,13.915693,8,True,Day (6AM-6PM)
-8.903014,-19.887672,0,False,Night (6PM-6AM)
-59.231705,-9.193746,13,False,Day (6AM-6PM)
11.435414,-33.354145,17,True,Day (6AM-6PM)
71.96531,-18.212444,18,False,Night (6PM-6AM)
57.310493,-23.61716,13,False,Day (6AM-6PM)
-13.517005,-46.542988,22,False,Night (6PM-6AM)
4.845891,-30.646297,18,True,Night (6PM-6AM)
40.269394,-0.9711717,0,True,Night (6PM-6AM)
15.474748,19.226204,9,False,Day (6AM-6PM)
64.60624,-47.45448,19,False,Night (6PM-6AM)
-8.211645,91.06615,16,True,Day (6AM-6PM)
29.594719,-67.25214,15,False,Day (6AM-6PM)
61.263172,1.4161724,4,False,Night (6PM-6AM)
81.96208,-23.274563,20,False,Night (6PM-6AM)
-5.7178335,87.97924,23,False,Night (6PM-6AM)
57.546764,-9.741106,12,False,Day (6AM-6PM)
7.919917,67.70926,21,False,Night (6PM-6AM)
10.67771,-36.486763,13,True,Day (6AM-6PM)
0.72085977,-86.32408,17,False,Day (6AM-6PM)
11.075033,72.33636,20,True,Night (6PM-6AM)
-18.374416,-46.324104,21,False,Night (6PM-6AM)
-77.016106,-22.291286,19,False,Night (6PM-6AM)
-67.28678,19.404919,3,False,Night (6PM-6AM)
28.300652,40.8384,9,False,Day (6AM-6PM)
-77.305,-7.052536,11,True,Day (6AM-6PM)
-29.219986,-31.580503,21,False,Night (6PM-6AM)
-75.47515,-3.6151364,11,True,Day (6AM-6PM)
68.41542,-27.7471,16,False,Day (6AM-6PM)
-48.0391,51.42527,19,False,Night (6PM-6AM)
7.7311296,48.045853,5,False,Night (6PM-6AM)
-66.31809,19.6253,3,False,Night (6PM-6AM)
-10.368408,-80.80927,16,False,Day (6AM-6PM)
-75.15637,15.377504,2,False,Night (6PM-6AM)
-37.324043,49.582497,8,True,Day (6AM-6PM)
-29.848598,-29.60188,18,False,Night (6PM-6AM)
-76.99502,-0.06990796,0,False,Night (6PM-6AM)
45.081875,43.665733,9,False,Day (6AM-6PM)
-61.346737,-12.906233,22,True,Night (6PM-6AM)
-9.051608,13.257072,10,False,Day (6AM-6PM)
6.0940914,76.826004,14,False,Day (6AM-6PM)
-5.676453,3.847971,2,True,Night (6PM-6AM)
24.8322,63.143394,21,False,Night (6PM-6AM)
7.0016255,46.171986,11,False,Day (6AM-6PM)
33.666454,75.30089,20,False,Night (6PM-6AM)
32.3589,14.983029,2,False,Night (6PM-6AM)
49.8276,-44.441994,15,False,Day (6AM-6PM)
-20.407139,-43.355396,15,True,Day (6AM-6PM)
71.73655,16.831179,3,False,Night (6PM-6AM)
-21.911983,-32.973373,23,True,Night (6PM-6AM)
-36.998177,67.71248,18,False,Night (6PM-6AM)
-27.726686,9.076697,3,False,Night (6PM-6AM)
-29.520365,-4.7301526,9,False,Day (6AM-6PM)
-64.086975,-50.10951,17,False,Day (6AM-6PM)
-78.83141,-2.9913125,8,False,Day (6AM-6PM)
0.7938442,-61.292614,18,False,Night (6PM-6AM)
-1.209191,56.512737,9,False,Day (6AM-6PM)
-17.306093,84.177345,22,False,Night (6PM-6AM)
-3.1424308,-18.404907,8,False,Day (6AM-6PM)
-34.797737,-56.500187,20,True,Night (6PM-6AM)
-37.918728,-42.330585,22,False,Night (6PM-6AM)
50.524303,-23.574133,14,False,Day (6AM-6PM)
-14.995047,56.261654,12,False,Day (6AM-6PM)
-16.485502,-12.490013,1,False,Night (6PM-6AM)
52.05682,4.261461,0,False,Night (6PM-6AM)
-23.670801,0.8341798,11,False,Day (6AM-6PM)
1.7666677,-78.84995,17,False,Day (6AM-6PM)
-36.00492,77.4804,15,False,Day (6AM-6PM)
47.602623,6.2625318,11,False,Day (6AM-6PM)
65.04205,10.871354,9,True,Day (6AM-6PM)
46.67135,-41.950245,20,False,Night (6PM-6AM)
28.891497,-18.437593,20,True,Night (6PM-6AM)
69.70782,-15.863138,22,True,Night (6PM-6AM)
50.811333,-31.320007,20,False,Night (6PM-6AM)
-29.041475,9.927983,1,False,Night (6PM-6AM)
-25.568047,-5.9200497,0,False,Night (6PM-6AM)
46.984093,-37.998734,15,True,Day (6AM-6PM)
-61.46848,-40.69073,23,False,Night (6PM-6AM)
32.177418,60.73517,20,False,Night (6PM-6AM)
-8.944052,74.25431,17,True,Day (6AM-6PM)
31.346785,70.28931,22,False,Night (6PM-6AM)
-67.13969,-46.57831,14,True,Day (6AM-6PM)
-4.2627907,-17.793215,11,False,Day (6AM-6PM)
70.942345,-10.9426775,21,False,Night (6PM-6AM)
69.10178,-36.034367,13,False,Day (6AM-6PM)
66.15927,-30.787634,14,True,Day (6AM-6PM)
-2.7253373,40.82522,1,False,Night (6PM-6AM)
65.66216,2.8296335,9,False,Day (6AM-6PM)
45.52648,-43.1015,12,False,Day (6AM-6PM)
41.245842,68.21383,18,False,Night (6PM-6AM)
5.039461,90.29474,12,False,Day (6AM-6PM)
-6.2738705,-18.9525,0,False,Night (6PM-6AM)
-24.030237,8.917783,11,False,Day (6AM-6PM)
20.193756,80.615364,15,False,Day (6AM-6PM)
-22.744598,4.280285,0,False,Night (6PM-6AM)
-29.995272,3.434965,11,False,Day (6AM-6PM)
25.091377,-35.63341,17,True,Day (6AM-6PM)
6.19606,76.675385,20,False,Night (6PM-6AM)
-24.557594,35.75244,1,False,Night (6PM-6AM)
78.15435,-13.004114,17,True,Day (6AM-6PM)
29.778948,-2.1224134,0,True,Night (6PM-6AM)
-48.48459,7.251885,7,False,Day (6AM-6PM)
-67.070946,-35.331066,16,False,Day (6AM-6PM)
39.365406,67.50609,12,False,Day (6AM-6PM)
